input,target
"Listen on port 3000 on localhost and selected IP, forwarding to 3000 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/analytics-pod 3000:3000"
"Create a service for an node deployment, which serves on port 80 and connects to the containers on port 8000",kubectl expose deployment node --port=8010 --target-port=909000
"Create a service for a replicated php, which serves on port 80 and connects to the containers on port 8000",kubectl expose rc php --port=8080 --target-port=888800
Return snapshot of previous terminated mycontainer container logs from pod email-service-pod,kubectl logs -p -c mycontainer email-service-pod
"Auto scale a replication controller ""cdn"", with the number of pods between 1 and 8, target CPU utilization at 90%",kubectl autoscale rc cdn --max=8 --cpu-percent=90
Return snapshot logs from all containers in pods defined by label tier=frontend,kubectl logs -l tier=frontend --all-containers=true
"Check to see if I can get the job named ""data-migration-job"" in namespace ""kube-node-lease""",kubectl auth can-i list jobs.batch/data-migration-job -n kube-node-lease
Begin streaming the logs of the astro-container container in pod log-aggregator-pod,kubectl logs -f -c astro-container log-aggregator-pod
"Get output from running the 'mysql --version' command from pod analytics-pod, using the first container by default",kubectl exec analytics-pod -- mysql --version
"Listen on port 8000 locally, forwarding to 3000 in the pod",kubectl port-forward pod/security-service-pod 8000:3000
"Partially update a node using a strategic merge patch, specifying the patch as JSON","kubectl patch node storage-node-13 -p '{""spec"":{""type"":""LoadBalancer""}'"
Start a node pod and let the container expose port 9091,kubectl run hazelcast --image=node --port=9091
Import specific keys from a config map,kubectl set env --keys=api_key --from=configmap/log-config deployment/proxy-service-deployment
Delete the context for the team-alpha-context cluster,kubectl config delete-context team-alpha-context
Create a new config map named env-vars with specified keys instead of file basenames on disk,kubectl create configmap env-vars --from-file=properties=/path/to/options/file1.txt --from-file=key1=/path/to/preferences/file2.txt
Restart a daemon set,kubectl rollout restart daemonset/nginx
"Listen on ports 8081 and 6000 locally, forwarding data to/from ports 8080 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/mydeployment 8081 8080
Copy /var/run/secrets/kubernetes.io/serviceaccount/ from a remote pod to /etc/kubernetes locally,kubectl cp metallb-system/file-server-pod-14:/var/run/secrets/kubernetes.io/serviceaccount/ /etc/kubernetes
Roll back to daemonset revision 3,kubectl rollout undo daemonset/test --to-revision=3
"Listen on port 9090 on all addresses, forwarding to 8080 in the pod",kubectl port-forward --address 0.0.0.0 pod/proxy-server-pod 9090:8080
Create a new ExternalName service named external-email-service,kubectl create service externalname external-email-service --external-name blog-test.blog
"Delete pods and services with same names ""media-stream"" and ""vpn""","kubectl delete pod,service media-stream vpn"
Set the resource request and limits for all containers in elasticsearch,"kubectl set resources deployment elasticsearch --limits=cpu=200m,memory=512Mi --requests=cpu=50m,memory=4Gi"
"Listen on port 3000 on localhost and selected IP, forwarding to 8088 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/log-aggregator-pod 3000:8088"
"Create a service for an alpine deployment, which serves on port 80 and connects to the containers on port 8000",kubectl expose deployment alpine --port=8089 --target-port=300100
Switch to raw terminal mode; sends stdin to 'bash' in lunar-launcher from pod vpn-service-pod # and sends stdout/stderr from 'bash' back to the client,kubectl attach vpn-service-pod -c lunar-launcher -i -t
"Listen on port 8088 locally, forwarding to 8000 in the pod",kubectl port-forward pod/web-app-pod 8088:8000
"Delete pods and services with same names ""proxy"" and ""payment""","kubectl delete pod,service proxy payment"
"Update pod 'gateway' with the annotation 'expiration-date' and the value '2024-12-31' # If the same annotation is set multiple times, only the last value will be applied",kubectl annotate pods gateway expiration-date='2024-12-31'
Set the cluster field in the my-context context to kube-cluster-2,kubectl config set contexts.app-1-context.cluster kube-cluster-2
"Listen on ports 8000 and 6000 locally, forwarding data to/from ports 8080 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/web-app-deployment 8000 8080
Set custom TLS server name to use for validation for the on-prem-cluster cluster entry,kubectl config set-cluster on-prem-cluster --tls-server-name=cluster-alpha
Create a deployment named wordpress that runs the node image and expose port 7000,kubectl create deployment wordpress --image=node --port=7000
"If the deployment named bar's current size is 5, scale mysql to 5",kubectl scale --current-replicas=5 --replicas=5 deployment/bar
Create a job with a command,kubectl create job backup --image=ethereum/client-go -- geth attach
"List deployments in YAML output format, in the ""v2.0.0"" version of the ""apps"" API group",kubectl get deployments.v2.0.0.apps -o yaml
Add a taint with key 'cpu-type' on nodes having label instance=app-instance-1,kubectl taint node -l instance=app-instance-1  cpu-type=node-2:PreferNoSchedule
"Set a deployments mysql container cpu limits to ""50m"" and memory to ""256Mi""","kubectl set resources deployment mysql -c=nginx --limits=cpu=50m,memory=256Mi"
"Delete pods and services with same names ""api"" and ""email""","kubectl delete pod,service api email"
"Listen on port 8088 on all addresses, forwarding to 8000 in the pod",kubectl port-forward --address 0.0.0.0 pod/cdn-service-pod 8088:8000
Set deployment notification-handler-deployment's service account to my-service-account,kubectl set serviceaccount deployment notification-handler-deployment my-service-account
"Update pod 'api' with the annotation 'owner' and the value 'alice-smith', overwriting any existing value",kubectl annotate --overwrite pods api owner='alice-smith'
Import environment from a config map with a prefix,kubectl set env --from=configmap/log-config --prefix=MYSQL_ deployment/mydeployment
Import environment from a secret,kubectl set env --from=secret/ssh-key-secret deployment/notification-handler-deployment
"List deployments in JSON output format, in the ""v1.1.1"" version of the ""mobile-apps"" API group",kubectl get deployments.v1.1.1.mobile-apps -o json
Create a deployment named mattermost that runs the docker.elastic.co/elasticsearch/elasticsearch image with 3 replicas,kubectl create deployment mattermost --image=docker.elastic.co/elasticsearch/elasticsearch --replicas=3
"Auto scale a deployment ""api"", with the number of pods between 7 and 10, no target CPU utilization specified so a default autoscaling policy will be used",kubectl autoscale deployment api --min=7 --max=10
"Listen on port 5000 locally, forwarding to 8081 in the pod",kubectl port-forward pod/security-service-pod 5000:8081
"List deployments in JSON output format, in the ""legacy-1.0.0"" version of the ""internal-apps"" API group",kubectl get deployments.legacy-1.0.0.internal-apps -o json
Create an ingress with TLS enabled using the default ingress certificate and different path types,"kubectl create ingress ingtls --class=default \
--rule=""site.com/=svc:https,tls"" \
--rule=""website.com/path/subpath*=othersvc:7000"""
"Update pod 'backend' with the annotation 'SLA' and the value '99.9% uptime' # If the same annotation is set multiple times, only the last value will be applied",kubectl annotate pods backend SLA='99.9% uptime'
Set deployment scheduler-app-deployment's service account to kube-proxy,kubectl set serviceaccount deployment scheduler-app-deployment kube-proxy
Set custom TLS server name to use for validation for the kube-cluster-1 cluster entry,kubectl config set-cluster kube-cluster-1 --tls-server-name=my-k8s-cluster
"Listen on ports 8080 and 6000 locally, forwarding data to/from ports 5432 and 6000 in the pod",kubectl port-forward pod/security-service-pod 8080 5432
"Get output from running the 'redis-server' command from pod vpn-service-pod, using the first container by default",kubectl exec vpn-service-pod -- redis-server
"Listen on port 6379 on localhost and selected IP, forwarding to 5000 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/api-service-pod 6379:5000"
"Create a single ingress called 'app1-ingress' that directs requests to website.com/bar to svc # svc1:7000 with a tls secret ""my-cert""","kubectl create ingress app1-ingress --rule=""website.com/bar=svc1:7000,tls=my-cert"""
Set custom TLS server name to use for validation for the sun-cluster cluster entry,kubectl config set-cluster sun-cluster --tls-server-name=cluster-gamma
Create a cron job with a command,"kubectl create cronjob backup-job --image=redis --schedule=""*/1 * * * *"" -- redis-server --version"
Create a new secret named payment-gateway-secret from an env file,kubectl create secret generic payment-gateway-secret --from-env-file=path/to/configs.env
"Listen on port 8000 locally, forwarding to 5432 in the pod",kubectl port-forward pod/analytics-pod 8000:5432
Set deployment search-engine-deployment's service account to kube-proxy,kubectl set serviceaccount deployment search-engine-deployment kube-proxy
Remove from node 'storage-node-13' all the taints with key 'environment',kubectl taint nodes storage-node-13 environment-
"List deployments in YAML output format, in the ""v1.1.1"" version of the ""custom-apps"" API group",kubectl get deployments.v1.1.1.custom-apps -o yaml
Create a job with a command,kubectl create job backup --image=centos -- sleep 3600
"If the deployment named bar's current size is 3, scale mysql to 3",kubectl scale --current-replicas=3 --replicas=3 deployment/bar
"Listen on port 8081 on all addresses, forwarding to 8088 in the pod",kubectl port-forward --address 0.0.0.0 pod/security-service-pod 8081:8088
Create a new ExternalName service named external-logging-service,kubectl create service externalname external-logging-service --external-name practice-online.site
Print the supported API resources with a specific APIGroup,kubectl api-resources --api-group=rbac.authorization.k8s.io
Copy /tmp/foo_dir from a remote pod to /tmp/bar locally,kubectl cp openfaas/admin-dashboard-pod-16:/tmp/foo_dir /tmp/bar
Create a copy of e-commerce-pod changing all container images to jenkins,kubectl debug e-commerce-pod --copy-to=my-custom-dbg --set-image=*=jenkins
Scale a replica set named 'backend-service-replicaset' to 3,kubectl scale --replicas=3 rs/backend-service-replicaset
"Delete pods and services with same names ""payment"" and ""security""","kubectl delete pod,service payment security"
Show all logs from pod e-commerce-pod written in the last hour,kubectl logs --since=1h e-commerce-pod
List one or more resources by their type and names,kubectl get rc/web service/monitoring-rc pods/auth-service-pod
Get the documentation of a specific field of a resource,kubectl explain resource=pods.metadata.name
Create a new config map named namespace-config with specified keys instead of file basenames on disk,kubectl create configmap namespace-config --from-file=conf=/path/to/parameters/file1.txt --from-file=data=/path/to/configurations/file2.txt
"Update pod 'auth' with the annotation 'contact-email' and the value 'support@example.com', overwriting any existing value",kubectl annotate --overwrite pods auth contact-email='support@example.com'
Update pod 'payment' with the label 'tier' and the value 'frontend',kubectl label pods payment tier=frontend
Create a copy of payment-gateway-pod changing all container images to postgres,kubectl debug payment-gateway-pod --copy-to=debug-image-app --set-image=*=postgres
"Listen on port 5000 on all addresses, forwarding to 5432 in the pod",kubectl port-forward --address 0.0.0.0 pod/chat-app-pod 5000:5432
"Update pod 'chat-app' with the annotation 'monitoring-tool' and the value 'Prometheus', overwriting any existing value",kubectl annotate --overwrite pods chat-app monitoring-tool='Prometheus'
Import specific keys from a config map,kubectl set env --keys=api_key --from=configmap/app-config-prod deployment/gateway-deployment
Start a wordpress pod and let the container expose port 3000,kubectl run hazelcast --image=wordpress --port=3000
Switch to raw terminal mode; sends stdin to 'bash' in lunar-launcher from pod backend-pod # and sends stdout/stderr from 'bash' back to the client,kubectl attach backend-pod -c lunar-launcher -i -t
Return snapshot logs from container monitoring-stack-deployment-1 of a deployment named email-service-pod,kubectl logs deployment/monitoring-stack-deployment -c email-service-pod-1
"Auto scale a deployment ""auth"", with the number of pods between 5 and 10, no target CPU utilization specified so a default autoscaling policy will be used",kubectl autoscale deployment auth --min=5 --max=10
"Listen on ports 5432 and 6000 locally, forwarding data to/from ports 8000 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/authentication-service-deployment 5432 8000
"Listen on port 5432 locally, forwarding to 8081 in the pod",kubectl port-forward pod/chat-app-pod 5432:8081
"Remove exec auth plugin environment variables for the ""security-user"" entry",kubectl config set-credentials security-user --exec-env=var-to-remove-
Create a new ClusterIP service named messaging-service-clusterip,kubectl create service clusterip messaging-service-clusterip --tcp=3000:5001
"Listen on port 8888 locally, forwarding to 6379 in the pod",kubectl port-forward pod/analytics-pod 8888:6379
Remove from node 'web-node-8' the taint with key 'disktype' and effect 'NoSchedule' if one exists,kubectl taint nodes web-node-8 disktype:NoSchedule-
Get output from running the 'go' command in time-machine from pod web-app-pod,kubectl exec web-app-pod -c time-machine -- go
Create a deployment named monitoring that runs the amazonlinux image,kubectl create deployment monitoring --image=amazonlinux
Create a deployment named api that runs the nginx image with 5 replicas,kubectl create deployment api --image=nginx --replicas=5
"Check to see if I can get the job named ""image-processing-job"" in namespace ""kube-public""",kubectl auth can-i list jobs.batch/image-processing-job -n kube-public
Return snapshot logs from container notification-handler-deployment-1 of a deployment named log-aggregator-pod,kubectl logs deployment/notification-handler-deployment -c log-aggregator-pod-1
Use an alternative editor,"KUBE_EDITOR=""gedit"" kubectl edit svc/web-service"
Create a new secret named ssl-key-secret with key1=supersecret and key2=topsecret,kubectl create secret generic ssl-key-secret --from-literal=key1=supersecret --from-literal=key2=topsecret
"Update a pod identified by type and name in ""preferences.json""",kubectl annotate -f preferences.json SLA='99.9% uptime'
"Listen on ports 5000 and 6000 locally, forwarding data to/from ports 5000 and 6000 in the pod",kubectl port-forward pod/proxy-server-pod 5000 5000
"Get output from running the 'python' command from pod frontend-pod, using the first container by default",kubectl exec frontend-pod -- python
Get output from running the 'mysqld' command in cyber-sleuth from pod web-app-pod,kubectl exec web-app-pod -c cyber-sleuth -- mysqld
Remove from node 'edge-node-10' all the taints with key 'zone',kubectl taint nodes edge-node-10 zone-
"Listen on port 9090 locally, forwarding to 8888 in the pod",kubectl port-forward pod/web-app-pod 9090:8888
List one or more resources by their type and names,kubectl get rc/web service/database-rc pods/backend-pod
"Listen on port 8080 on all addresses, forwarding to 5000 in the pod",kubectl port-forward --address 0.0.0.0 pod/web-app-pod 8080:5000
Begin streaming the logs of the quantum-quark container in pod media-stream-pod,kubectl logs -f -c quantum-quark media-stream-pod
"Listen on a random port locally, forwarding to 8000 in the pod",kubectl port-forward pod/analytics-pod :8000
"Check to see if I can get the job named ""certificates-renewal-job"" in namespace ""kube-dns""",kubectl auth can-i list jobs.batch/certificates-renewal-job -n kube-dns
"Listen on port 8000 locally, forwarding to 8080 in the pod",kubectl port-forward pod/analytics-pod 8000:8080
"Listen on port 5432 locally, forwarding to 5000 in the pod",kubectl port-forward pod/frontend-pod 5432:5000
Embed certificate authority data for the cloud-cluster cluster entry,kubectl config set-cluster cloud-cluster --embed-certs --certificate-authority=~/.kube/kube-cluster-2/kubernetes.ca.crt
Begin streaming the logs from all containers in pods defined by label stack=tech-stack,kubectl logs -f -l stack=tech-stack --all-containers=true
"Listen on port 5000 locally, forwarding to 8088 in the pod",kubectl port-forward pod/api-service-pod 5000:8088
Update image of all containers of daemonset staging to 'redis:6.2.5',kubectl set image daemonset staging *=redis:6.2.5
Roll back to daemonset revision 1,kubectl rollout undo daemonset/nginx --to-revision=1
"Create a role named ""admin_role"" with ResourceName specified",kubectl create role admin_role --verb=get --resource=pods --resource-name=log-aggregator --resource-name=machine-learning
"Create a service for an wordpress deployment, which serves on port 80 and connects to the containers on port 8000",kubectl expose deployment wordpress --port=8088 --target-port=330600
"If the deployment named baz's current size is 3, scale mysql to 7",kubectl scale --current-replicas=3 --replicas=7 deployment/baz
Return snapshot logs from container monitoring-stack-deployment-1 of a deployment named backend-pod,kubectl logs deployment/monitoring-stack-deployment -c backend-pod-1
"Listen on port 8888 on localhost and selected IP, forwarding to 3000 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/mypod 8888:3000"
Update a cluster role binding for dashboard,kubectl set subject clusterrolebinding admin --serviceaccount=namespace:dashboard
"Listen on port 6379 locally, forwarding to 8081 in the pod",kubectl port-forward pod/frontend-pod 6379:8081
Switch to raw terminal mode; sends stdin to 'bash' in warp-drive from pod email-service-pod # and sends stdout/stderr from 'bash' back to the client,kubectl attach email-service-pod -c warp-drive -i -t
Create a deployment named gitlab that runs the jenkins image and expose port 8083,kubectl create deployment gitlab --image=jenkins --port=8083
Import environment from a secret,kubectl set env --from=secret/ldap-credentials-secret deployment/api-server-deployment
Create a cron job with a command,"kubectl create cronjob backup-job --image=node --schedule=""*/1 * * * *"" -- node"
Return snapshot logs from container log-aggregator-deployment-1 of a deployment named email-service-pod,kubectl logs deployment/log-aggregator-deployment -c email-service-pod-1
"Start a python pod, but overload the spec with a partial set of values parsed from JSON","kubectl run nginx --image=python --overrides='{ ""apiVersion"": ""v2.0.0"", ""spec"": { ... } }'"
Update image of all containers of daemonset namespace-1 to 'alpine:3.14',kubectl set image daemonset namespace-1 *=alpine:3.14
"Partially update a node using a strategic merge patch, specifying the patch as JSON","kubectl patch node k8s-node-1 -p '{""spec"":{""type"":""LoadBalancer""}'"
"Listen on ports 8080 and 6000 locally, forwarding data to/from ports 8088 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/notification-handler-deployment 8080 8088
"If the deployment named payment-service-rs's current size is 7, scale mysql to 1",kubectl scale --current-replicas=7 --replicas=1 deployment/payment-service-rs
Create a cron job with a command,"kubectl create cronjob log-rotation --image=alpine --schedule=""*/1 * * * *"" -- apk add curl"
Create a copy of analytics-pod changing all container images to jenkins,kubectl debug analytics-pod --copy-to=debug-image-1 --set-image=*=jenkins
"Check to see if I can get the job named ""batch-processing-job"" in namespace ""namespace-1""",kubectl auth can-i list jobs.batch/batch-processing-job -n namespace-1
Add a taint with key 'datacenter' on nodes having label myLabel,kubectl taint node -l myLabel  datacenter=dev-node-4:PreferNoSchedule
Start a nginx pod and let the container expose port 3306,kubectl run hazelcast --image=nginx --port=3306
"Auto scale a deployment ""payment"", with the number of pods between 7 and 15, no target CPU utilization specified so a default autoscaling policy will be used",kubectl autoscale deployment payment --min=7 --max=15
Remove from node 'k8s-node-1' all the taints with key 'dedicated',kubectl taint nodes k8s-node-1 dedicated-
Display only the most recent 53 lines of output in pod log-aggregator-pod,kubectl logs --tail=53 log-aggregator-pod
"Partially update a node using a strategic merge patch, specifying the patch as YAML",kubectl patch node node-1 -p $'spec:\n unschedulable: true'
"Check to see if I can get the job named ""cron-job"" in namespace ""kube-public""",kubectl auth can-i list jobs.batch/cron-job -n kube-public
"Partially update a node using a strategic merge patch, specifying the patch as JSON","kubectl patch node testing-node-11 -p '{""spec"":{""unschedulable"":true}}'"
"Update node 'prod-node-5' with a taint with key 'special' and value 'backup' and effect 'NoSchedule' # If a taint with that key and effect already exists, its value is replaced as specified",kubectl taint nodes prod-node-5 special=backup:NoSchedule
Remove from node 'monitoring-node-15' the taint with key 'app' and effect 'PreferNoSchedule' if one exists,kubectl taint nodes monitoring-node-15 app:PreferNoSchedule-
Add to node 'dev-node-4' a taint with key 'cpu-type' and no value,kubectl taint nodes dev-node-4 cpu-type:NoSchedule
"Listen on ports 8000 and 6000 locally, forwarding data to/from ports 8000 and 6000 in the pod",kubectl port-forward pod/cdn-service-pod 8000 8000
"Create a service for an python deployment, which serves on port 80 and connects to the containers on port 8000",kubectl expose deployment python --port=5432 --target-port=300100
Add a taint with key 'app' on nodes having label tier=frontend,kubectl taint node -l tier=frontend  app=kube-master-9:PreferNoSchedule
Create a deployment with a command,kubectl create deployment auth --image=mysql -- mysql
Get output from running the 'redis-server --version' command in cyber-sleuth from pod monitoring-pod,kubectl exec monitoring-pod -c cyber-sleuth -- redis-server --version
Update deployment 'web-app-deployment' with a new environment variable,kubectl set env deployment/web-app-deployment SMTP_HOST=smtp.example.com
"Create a role named ""custom_role"" with ResourceName specified",kubectl create role custom_role --verb=list --resource=pods --resource-name=audit-logger --resource-name=cache-redis
"List deployments in YAML output format, in the ""hotfix-1.1.2"" version of the ""my-apps"" API group",kubectl get deployments.hotfix-1.1.2.my-apps -o yaml
"Listen on port 5000 on localhost and selected IP, forwarding to 9090 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/analytics-pod 5000:9090"
"Listen on ports 8888 and 6000 locally, forwarding data to/from ports 8080 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/mydeployment 8888 8080
Create a new NodePort service named media-stream-nodeport,kubectl create service nodeport media-stream-nodeport --tcp=8081:7000
"Update pod 'payment' with the annotation 'criticality' and the value 'high', overwriting any existing value",kubectl annotate --overwrite pods payment criticality='high'
"Create a cluster role named ""bar"" that allows user to perform ""list"", ""create"" and ""connect"" on services","kubectl create clusterrole bar --verb=list,create,connect --resource=services"
"Listen on ports 5000 and 6000 locally, forwarding data to/from ports 5432 and 6000 in the pod",kubectl port-forward pod/backend-pod 5000 5432
"Delete pods and services with same names ""api"" and ""vpn""","kubectl delete pod,service api vpn"
Add a taint with key 'disktype' on nodes having label role=database,kubectl taint node -l role=database  disktype=dev-node-4:PreferNoSchedule
"Listen on port 8081 on all addresses, forwarding to 8081 in the pod",kubectl port-forward --address 0.0.0.0 pod/cdn-service-pod 8081:8081
Get output from running the 'apk add curl' command in lunar-launcher from pod analytics-pod,kubectl exec analytics-pod -c lunar-launcher -- apk add curl
Create a new config map named ui-config with specified keys instead of file basenames on disk,kubectl create configmap ui-config --from-file=properties=/path/to/parameters/file1.txt --from-file=key1=/path/to/preferences/file2.txt
Create a new config map named global-config from an env file,kubectl create configmap global-config --from-env-file=path/to/configurations.env
Create an ingress with TLS enabled using the default ingress certificate and different path types,"kubectl create ingress ingtls --class=default \
--rule=""foo.com/=svc:https,tls"" \
--rule=""site.com/path/subpath*=othersvc:9000"""
Update deployment 'frontend-deployment' with a new environment variable,kubectl set env deployment/frontend-deployment SMTP_USERNAME=your-username
"Update a pod identified by type and name in ""setup.json""",kubectl annotate -f setup.json app-version=2.5.1
Scale a replica set named 'bar' to 1,kubectl scale --replicas=1 rs/bar
Import specific keys from a config map,kubectl set env --keys=MAX_CONNECTIONS --from=configmap/log-config deployment/cache-cluster-deployment
"Remove the ""client-secret"" config value for the OpenID Connect auth provider for the ""web-app"" entry",kubectl config set-credentials web-app --auth-provider=oidc --auth-provider-arg=client-secret-
"Update pod 'payment' with the annotation 'custom-label' and the value 'my-custom-value' # If the same annotation is set multiple times, only the last value will be applied",kubectl annotate pods payment custom-label=my-custom-value
Start a nginx pod and let the container expose port 6379,kubectl run hazelcast --image=nginx --port=6379
"If the deployment named webapp-replicaset's current size is 1, scale mysql to 3",kubectl scale --current-replicas=1 --replicas=3 deployment/webapp-replicaset
Approve CSR 'csr-webserver-1',kubectl certificate approve csr-webserver-1
"Listen on ports 8000 and 6000 locally, forwarding data to/from ports 3000 and 6000 in the pod",kubectl port-forward pod/chat-app-pod 8000 3000
Use an alternative editor,"KUBE_EDITOR=""nvim"" kubectl edit svc/cache-service"
Create a new ExternalName service named external-monitoring-service,kubectl create service externalname external-monitoring-service --external-name blog-test.blog
"Listen on port 8080 locally, forwarding to 8000 in the pod",kubectl port-forward pod/cdn-service-pod 8080:8000
Create a new secret named email-credentials-secret with key1=supersecret and key2=topsecret,kubectl create secret generic email-credentials-secret --from-literal=key1=supersecret --from-literal=key2=topsecret
Unset namespace in staging-context context,kubectl config unset contexts.staging-context.namespace
"Listen on port 8088 locally, forwarding to 5000 in the pod",kubectl port-forward pod/security-service-pod 8088:5000
Set custom TLS server name to use for validation for the cluster-beta cluster entry,kubectl config set-cluster cluster-beta --tls-server-name=cluster-beta
Print the supported API resources with a specific APIGroup,kubectl api-resources --api-group=authentication.k8s.io
Update pod 'analytics' with the label 'env' and the value 'staging',kubectl label pods analytics env=staging
Import specific keys from a config map,kubectl set env --keys=my-example-key --from=configmap/env-vars deployment/proxy-service-deployment
Return snapshot logs from pod vpn-service-pod with only one container,kubectl logs vpn-service-pod
"Listen on port 5000 locally, forwarding to 6379 in the pod",kubectl port-forward pod/proxy-server-pod 5000:6379
Add a taint with key 'environment' on nodes having label myLabel,kubectl taint node -l myLabel  environment=node-2:PreferNoSchedule
Import specific keys from a config map,kubectl set env --keys=debug_mode --from=configmap/log-config deployment/order-processing-deployment
"Listen on port 5000 locally, forwarding to 5432 in the pod",kubectl port-forward pod/e-commerce-pod 5000:5432
"Listen on port 5000 locally, forwarding to 6379 in the pod",kubectl port-forward pod/api-service-pod 5000:6379
Create a copy of frontend-pod changing all container images to busybox,kubectl debug frontend-pod --copy-to=my-debugger --set-image=*=busybox
"Delete pods and services with same names ""database"" and ""email""","kubectl delete pod,service database email"
